PUMFID,TBC_05A,TBC_05BR,TBC_10AR,TBC_10BR,TBC_15,TBC_20R,TBC_25QR,TBC_30AR,TBC_30BR,TBC_30CR,TBC_30DR,TBC_30ER,TBC_30FR,TBC_30GR,TBC_35,TBC_40,TBC_41A,TBC_41BR,TBC_45AR,TBC_45B,TBC_45F,TBC_45GR,TBC_50R,OTP_05AR,OTP_05BR,OTP_05CR,OTP_05DR,OTP_05ER,VAP_05AR,VAP_05BR,VAP_10R,VAP_15AR,VAP_15BR,VAP_15CR,VAP_20R,VAP_21R,VAP_30R,VAP_35R,VAP_40A,VAP_40BR,VAP_40HR,VAP_41A,VAP_41BR,VAP_41IR,VAP_45R,VAP_60,CAN_05A,CAN_05BR,CAN_10A,CAN_10BR,CAN_15AR,CAN_15BR,CAN_17R,CAN_20A,CAN_20BR,CAN_25AR,CAN_25BR,CAN_30AR,CAN_30BR,CAN_30CR,CAN_30G,IU_05R,ALC_05,ALC_10R,GENDER,AGEGROUP,PROV_C,ED_05R,INDFLGR,PGDVFLR,SORFLGR,LTC_10R,GEN_01,GEN_05,DV_SS,DV_SSB,DV_VC30,DV_VC30B,DV_VP30R,DVCAN30B,DVVP30BR,FIRSTTRR,CIGWAVR,DV_ALC30,DV_CAN30,WTPP,VERDATE
65193,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,6,2,7,2,6,35,3,2,2,2,2,2,3,3,4,2,3,2,3,3,3,96,1,2,2237.9697,11SEP2023
65194,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,4,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,3,4,96,6,96,2,2,96,6,6,6,6,6,6,3,3,7,1,4,24,3,2,1,2,2,2,3,3,4,2,3,2,3,3,3,96,1,2,11407.5848,11SEP2023
65195,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,1,1,5,3,6,1,2,2,1,6,2,6,1,3,24,2,2,2,1,2,3,4,3,4,2,3,2,3,3,3,96,1,2,4991.5215,11SEP2023
65196,1,2,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,2,6,11,3,2,2,2,2,2,2,3,4,2,3,2,3,3,1,96,1,2,203.099,11SEP2023
65197,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,46,2,2,2,2,2,3,2,3,4,2,3,2,3,3,6,96,2,2,828.8313,11SEP2023
65198,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,5,3,1,2,96,2,1,6,2,1,2,1,2,2,6,2,4,2,4,35,1,2,2,2,2,3,3,3,4,1,2,2,2,3,3,96,1,1,8088.1115,11SEP2023
65199,1,3,2,2,1,6,96,0,1,0,1,0,1,1,1,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,2,1,96,1,2,2,1,7,3,6,1,2,2,2,3,1,6,1,7,35,3,2,2,2,2,2,2,1,2,2,3,2,1,3,3,1,1,1,6025.8488,11SEP2023
65200,1,1,1,6,1,6,96,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,4,4,4,4,4,1,99,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,1,4,96,6,96,2,2,96,6,6,6,6,6,6,1,4,7,2,7,35,2,2,9,9,2,2,2,1,1,2,3,2,3,3,9,2,2,2,8807.6176,11SEP2023
65201,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,1,59,9,9,9,9,2,3,3,3,4,2,3,2,3,3,6,96,2,2,1011.7755,11SEP2023
65202,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,1,46,9,9,9,9,2,2,3,3,4,2,3,2,3,3,6,96,2,2,528.7087,11SEP2023
65203,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,6,13,2,2,2,2,1,4,3,2,3,2,3,2,3,3,1,96,2,2,721.1003,11SEP2023
65204,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,4,1,3,12,3,2,2,2,2,1,1,3,4,2,3,2,3,3,6,96,1,2,2198.9083,11SEP2023
65205,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,3,2,7,48,3,2,2,2,2,2,2,2,3,2,3,2,3,3,1,96,1,2,3746.6762,11SEP2023
65206,1,2,1,6,1,6,96,0,0,0,0,0,0,0,1,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,6,2,7,47,1,2,2,2,2,2,1,1,1,2,3,2,3,3,1,1,1,2,439.2111,11SEP2023
65207,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,1,24,9,9,9,9,2,2,4,3,4,2,3,2,3,3,6,96,2,2,701.3903,11SEP2023
65208,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,59,2,2,2,2,2,2,2,2,3,2,3,2,3,3,1,96,2,2,2895.1247,11SEP2023
65209,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,1,24,9,9,9,9,2,3,2,3,4,2,3,2,3,3,6,96,2,2,679.1234,11SEP2023
65210,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,5,2,1,48,9,9,9,9,2,2,4,3,4,2,3,2,3,3,6,96,1,2,654.0343,11SEP2023
65211,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,7,1,7,46,1,2,2,2,2,3,3,3,4,2,3,2,3,3,6,96,1,2,1002.0142,11SEP2023
65212,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,6,2,4,48,3,2,1,2,2,1,1,3,4,2,3,2,3,3,6,96,1,2,5111.7486,11SEP2023
65213,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,1,1,6,0,0,3,2,2,2,2,2,1,2,2,1,1,5,1,1,3,1,2,96,2,2,96,6,6,6,6,6,6,2,3,1,2,1,46,9,9,9,9,2,2,4,3,4,2,3,1,2,1,2,96,1,1,518.5706,11SEP2023
65214,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,4,35,3,2,1,2,2,1,1,3,4,2,3,2,3,3,6,96,2,2,3857.4075,11SEP2023
65215,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,1,2,96,6,6,6,6,6,6,6,4,6,2,3,35,1,2,2,2,2,3,4,3,4,2,3,2,3,3,6,96,2,2,17706.3722,11SEP2023
65216,1,2,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,9,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,48,2,2,2,9,1,2,2,3,4,2,3,2,3,3,1,96,2,2,2420.1417,11SEP2023
65217,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,5,13,2,2,2,2,2,2,2,3,4,2,3,2,3,3,6,96,2,2,1013.2372,11SEP2023
65218,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,6,1,7,35,1,2,2,9,2,2,1,2,3,2,3,2,3,3,1,96,1,2,5459.8628,11SEP2023
65219,1,5,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,24,3,2,2,2,2,3,3,3,4,2,3,2,3,3,1,96,2,2,5524.1883,11SEP2023
65220,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,1,59,9,9,9,9,2,4,4,3,4,2,3,2,3,3,6,96,2,2,617.4586,11SEP2023
65221,1,1,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,4,1,3,4,96,6,96,1,2,96,6,6,6,6,6,6,1,2,7,1,4,13,1,2,2,2,2,3,3,2,3,2,3,2,3,3,1,96,1,2,1728.7313,11SEP2023
65222,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,1,12,9,9,9,9,1,4,5,3,4,2,3,2,3,3,6,96,2,2,573.7475,11SEP2023
65223,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,3,4,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,2,7,12,3,2,2,2,2,3,3,3,4,2,3,2,3,3,3,96,1,2,1175.1657,11SEP2023
65224,1,1,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,5,48,1,2,2,2,2,1,1,3,4,2,3,2,3,3,1,96,2,2,5185.8102,11SEP2023
65225,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,4,59,3,2,2,2,2,2,2,3,4,2,3,2,3,3,6,96,2,2,7798.7963,11SEP2023
65226,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,6,1,96,2,96,1,2,96,6,6,6,6,6,6,3,3,6,1,7,13,1,1,2,2,1,4,5,2,3,2,3,2,1,3,1,96,1,1,854.089,11SEP2023
65227,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,2,48,9,9,9,9,2,3,3,3,4,2,3,2,3,3,6,96,2,2,775.8075,11SEP2023
65228,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,7,1,2,59,9,9,9,9,2,2,2,3,4,2,3,2,3,3,6,96,1,2,908.5674,11SEP2023
65229,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,6,1,2,48,9,9,9,9,2,1,1,3,4,2,3,2,3,3,6,96,1,2,1104.4682,11SEP2023
65230,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,1,59,9,9,9,9,2,1,1,3,4,2,3,2,3,3,6,96,2,2,638.1147,11SEP2023
65231,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,1,24,9,9,9,9,2,1,1,3,4,2,3,2,3,3,6,96,2,2,703.8517,11SEP2023
65232,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,2,2,4,2,96,1,1,6,3,6,2,1,2,2,6,2,5,2,4,24,3,2,2,2,2,3,3,3,4,2,3,2,2,3,3,96,1,1,5472.1093,11SEP2023
65233,1,2,4,6,1,2,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,2,3,1,2,96,2,1,5,2,1,2,1,2,2,3,2,3,1,3,24,2,2,2,2,2,2,3,2,3,1,2,2,2,3,3,96,1,1,9413.7392,11SEP2023
65234,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,2,2,4,24,2,2,1,2,2,3,2,3,4,2,3,2,3,3,6,96,1,2,7569.8739,11SEP2023
65235,1,2,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,1,5,24,1,2,2,2,2,4,3,3,4,2,3,2,3,3,1,96,1,2,2547.3151,11SEP2023
65236,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,1,7,59,3,2,2,9,2,3,1,3,4,2,3,2,3,3,6,96,1,2,2131.1163,11SEP2023
65237,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,1,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,2,2,4,1,2,10,9,9,9,9,2,2,2,3,4,2,3,2,3,3,2,96,1,2,332.9827,11SEP2023
65238,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,2,59,9,9,9,9,2,2,3,3,4,2,3,2,3,3,6,96,2,2,947.5584,11SEP2023
65239,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,2,4,24,2,2,2,2,2,2,2,3,4,2,3,2,3,3,6,96,1,2,5594.4105,11SEP2023
65240,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,1,4,1,7,47,2,2,2,2,2,3,2,3,4,2,3,2,3,3,6,96,1,2,1259.2119,11SEP2023
65241,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,2,4,96,6,96,2,1,3,3,6,2,1,2,2,2,4,7,2,1,13,9,9,9,9,2,3,3,3,4,2,3,2,3,3,2,96,2,2,484.5454,11SEP2023
65242,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,2,7,59,1,2,2,2,2,2,2,2,3,2,3,2,3,3,1,96,1,2,2236.389,11SEP2023
65243,1,2,1,6,1,6,96,5,5,5,5,5,5,5,1,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,4,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,6,10,1,2,2,2,2,2,2,1,1,2,3,2,3,3,1,2,2,2,970.3573,11SEP2023
65244,1,1,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,6,1,2,13,9,9,9,9,2,3,2,3,4,2,3,2,3,3,1,96,1,2,647.8235,11SEP2023
65245,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,6,2,5,10,3,2,2,2,2,1,1,3,4,2,3,2,3,3,6,96,1,2,1166.7174,11SEP2023
65246,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,5,2,1,59,9,9,9,9,2,2,2,3,4,2,3,2,3,3,6,96,2,2,684.3269,11SEP2023
65247,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,5,1,5,59,3,2,1,2,2,1,1,2,3,2,3,2,3,3,1,96,2,2,4722.8448,11SEP2023
65248,1,2,1,6,1,6,96,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,1,6,35,2,2,2,2,2,4,5,1,1,2,3,2,3,3,1,3,1,2,7703.0032,11SEP2023
65249,1,2,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,1,4,6,1,4,46,1,1,2,9,2,1,2,3,4,2,3,2,3,3,1,96,2,2,696.1229,11SEP2023
65250,1,1,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,4,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,3,2,6,2,6,11,2,2,2,2,1,3,2,2,3,2,3,2,3,3,1,96,1,2,176.4939,11SEP2023
