"PUMFID","HHLDSIZE","GENDER","TBC_05AR","TBC_05BR","TBC_10AR","TBC_10BR","TBC_15R","TBC_20R","TBC_25QR","TBC_30AR","TBC_30BR","TBC_30CR","TBC_30DR","TBC_30ER","TBC_30FR","TBC_30GR","TBC_35R","TBC_40R","TBC_41AR","TBC_41BR","TBC_41CR","TBC_45AR","TBC_45BR","TBC_45CR","TBC_45ER","TBC_45FR","TBC_45GR","TBC_50AR","TBC_50BR","TBC_50CR","TBC_50DR","TBC_50ER","TBC_50GR","OTP_05A","OTP_05BR","OTP_05CR","OTP_05DR","OTP_05ER","VAP_05AR","VAP_05BR","VAP_10R","VAP_15AR","VAP_15BR","VAP_15CR","VAP_20R","VAP_21R","VAP_30R","VAP_35R","VAP_40AR","VAP_40BR","VAP_40CR","VAP_40DR","VAP_40ER","VAP_40FR","VAP_40GR","VAP_40HR","VAP_41AR","VAP_41BR","VAP_41CR","VAP_41DR","VAP_41ER","VAP_41FR","VAP_41GR","VAP_41HR","VAP_45R","VAP_60","CAN_05AR","CAN_05BR","CAN_10AR","CAN_10BR","CAN_15AR","CAN_15BR","CAN_20AR","CAN_20BR","CAN_25AR","CAN_25BR","CAN_30AR","CAN_30BR","CAN_30CR","CAN_30DR","CAN_30ER","CAN_30FR","CAN_30GR","CAN_30HR","CAN_30IR","IU_05R","ALC_05","ALC_10","AGEGROUP","PROV_C","DV_SSR","DV_CN30R","DV_VP30R","DV_VC30R","DV_ALC30","FIRSTTRR","VERDATE","WTPP"
50031,5,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,2,7,2,47,3,2,2,2,1,6,29JUN2021,606.3958
50032,5,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,1,35,3,2,2,2,2,6,29JUN2021,2064.7012
50033,4,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,3,35,3,2,2,2,2,6,29JUN2021,21573.8346
50034,2,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,3,1,96,4,96,1,3,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,47,3,1,2,1,1,2,29JUN2021,606.3958
50035,3,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,8,4,35,3,2,2,2,1,6,29JUN2021,8120.9487
50036,2,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,8,6,47,3,2,2,2,1,6,29JUN2021,2144.6616
50037,1,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,7,24,3,2,2,2,2,6,29JUN2021,3258.1989
50038,2,1,1,2,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,2,4,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,1,4,8,6,10,2,2,2,2,2,1,29JUN2021,2472.0533
50039,4,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,3,2,4,4,96,1,3,2,4,2,1,2,2,2,2,2,2,2,2,2,4,1,48,3,1,2,1,1,2,29JUN2021,2707.3779
50040,2,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,7,35,3,2,2,2,2,6,29JUN2021,4111.8443
50041,4,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,4,4,96,6,96,1,3,4,96,2,2,2,2,2,1,2,2,2,3,4,8,2,46,3,2,2,2,2,3,29JUN2021,1029.0232
50042,4,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,5,35,3,2,2,2,2,6,29JUN2021,8253.8784
50043,2,1,1,2,4,6,1,1,4,99,99,99,99,99,99,99,4,2,6,6,6,2,2,2,1,2,2,2,2,2,2,2,1,4,4,4,4,4,1,8,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,3,3,1,4,96,1,9,3,1,2,2,1,2,2,2,2,2,2,1,3,3,5,35,2,1,2,1,1,1,29JUN2021,8733.8954
50044,2,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,8,6,48,3,2,2,2,1,6,29JUN2021,3406.0726
50045,4,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,1,59,3,2,2,2,2,6,29JUN2021,1614.7408
50046,2,1,1,3,1,6,1,6,96,4,4,4,4,4,4,4,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,13,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,1,4,8,7,10,1,2,2,2,2,1,29JUN2021,2134.596
50047,2,2,1,3,4,6,1,4,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,7,5,13,2,2,2,2,1,1,29JUN2021,1450.7004
50048,2,1,1,4,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,8,4,46,3,2,2,2,1,1,29JUN2021,2540.3839
50049,3,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,8,6,10,3,2,2,2,1,6,29JUN2021,1675.5689
50050,4,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,4,4,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,3,4,96,6,96,1,4,4,96,2,1,2,2,2,2,2,2,2,3,4,8,2,35,3,2,2,2,2,3,29JUN2021,2299.4951
50051,2,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,8,6,48,3,2,2,2,1,6,29JUN2021,3869.7275
